1732339141.79707193,2341,537541.79707193,-3.69417596,-0.10217588,-0.01371857,-0.00031103,-0.00309363,-0.83453193,0.55095081
1732339146.80143690,2341,537546.80143690,-3.25244737,0.83637768,-0.02430313,-0.00127080,0.00038301,-0.83237413,0.55421255
1732339150.60468531,2341,537550.60468531,-2.82261419,1.74847126,-0.03330072,-0.00065859,0.00153946,-0.83060887,0.55685376
1732339153.60713840,2341,537553.60713840,-2.45640397,2.49076247,-0.03396564,-0.01169050,-0.00274646,-0.88796588,0.45975253
1732339154.80815315,2341,537554.80815315,-2.27202082,2.76338696,-0.03157338,-0.00874597,-0.00634073,-0.93395596,0.35722482
1732339158.81156397,2341,537558.81156397,-1.42272663,3.32070804,-0.04789194,-0.00295341,-0.00924650,-0.92733252,0.37411252
1732339162.61479998,2341,537562.61479998,-0.69133449,4.02049112,-0.04592093,0.00707699,-0.00280799,-0.90728505,0.42044722
1732339165.01684546,2341,537565.01684546,-0.35039139,4.52447891,-0.03239501,0.00584073,-0.00620027,-0.85792269,0.51370819
1732339168.61993599,2341,537568.61993599,0.11655222,5.44442892,-0.04185684,0.00751494,-0.00759443,-0.83586318,0.54883385
1732339172.22299194,2341,537572.22299194,0.58174467,6.38902950,-0.02503349,0.00900166,-0.00981671,-0.87783959,0.47876952
1732339174.62503910,2341,537574.62503910,1.00955534,6.87810993,-0.01998960,0.00451976,-0.00362973,-0.92388599,0.38262393
1732339176.02629137,2341,537576.02629137,1.29354990,7.11153364,-0.01452486,0.00576666,-0.00307138,-0.95845578,0.28516633
1732339177.42742729,2341,537577.42742729,1.64123797,7.27512169,-0.01377750,0.00439640,-0.00344540,-0.98214528,0.18804107
1732339180.22982907,2341,537580.22982907,2.43598199,7.47734070,-0.00277066,-0.00133698,-0.00516156,-0.99624415,0.08642432
1732339181.43083477,2341,537581.43083477,2.76593828,7.49406719,0.00166890,0.00002196,0.00481971,0.99951797,0.03066926
1732339182.43168831,2341,537582.43168831,3.03233266,7.44505644,0.00523242,-0.00030351,0.00422651,0.98950351,0.14444667
1732339185.43433905,2341,537585.43433905,3.72753859,7.05725145,0.00681820,0.00062441,-0.00116638,0.97004602,0.24291761
1732339189.43766284,2341,537589.43766284,4.61308813,6.49405861,0.00818461,0.00225767,0.00078210,0.96087450,0.27697379
1732339191.23918724,2341,537591.23918724,4.96031427,6.18926048,0.00157743,0.00239242,0.00719056,0.92737766,0.37404980
1732339192.84056425,2341,537592.84056425,5.23555946,5.86910629,-0.00439846,0.01184395,0.00572004,0.88423713,0.46685297
1732339194.44192839,2341,537594.44192839,5.42087555,5.52402830,-0.00689242,0.00980601,0.00630040,0.83238964,0.55406826
1732339196.44363785,2341,537596.44363785,5.57982683,5.05694294,-0.00457396,0.00828160,0.00509367,0.76639845,0.64229190
1732339197.64467430,2341,537597.64467430,5.61416912,4.78841591,-0.01017024,0.00713469,0.00613042,0.68682369,0.72676319
1732339201.64818192,2341,537601.64818192,5.39442492,3.80368066,-0.01590632,0.01078268,0.00475206,0.60877418,0.79325604
1732339205.65149093,2341,537605.65149093,5.00648260,2.84980321,-0.01656266,0.00870042,0.00589453,0.57217236,0.82006607
1732339207.25284004,2341,537607.25284004,4.85373306,2.46252394,-0.01280568,0.00849036,0.00629569,0.65522759,0.75535759
1732339208.25370097,2341,537608.25370097,4.78919363,2.20158648,-0.01701364,0.00996310,0.00245499,0.73595830,0.67694910
1732339209.05437589,2341,537609.05437589,4.76998568,2.00500226,-0.01489984,0.00615481,-0.00029084,0.80802297,0.58911876
1732339210.45557976,2341,537610.45557976,4.94627571,1.70755541,-0.02150542,0.00964610,0.00070076,0.86480934,0.50200723
1732339214.25882864,2341,537614.25882864,5.42813492,0.83751869,-0.03747019,0.00693926,-0.00204047,0.91745171,0.39778140
1732339217.86189747,2341,537617.86189747,6.12982130,0.32630697,-0.03354503,0.00991112,0.00473673,0.87234733,0.48876321
1732339218.66258049,2341,537618.66258049,6.23697376,0.16980329,-0.04632162,0.00889712,0.00352379,0.81783615,0.57537158
1732339219.26308727,2341,537619.26308727,6.30217981,0.05712548,-0.04301258,0.00872947,0.00645020,0.75603085,0.65444598
1732339220.06378269,2341,537620.06378269,6.28619862,-0.16656788,0.00413278,0.00641937,0.00054853,0.66575996,0.74613817
1732339220.86445618,2341,537620.86445618,6.22554207,-0.38767400,-0.03229939,0.00921155,0.00107755,0.58175535,0.81331095
1732339223.06633258,2341,537623.06633258,5.94000196,-0.87378985,-0.03617184,0.00924854,0.00260300,0.49604786,0.86824202
1732339226.86957240,2341,537626.86957240,5.41724443,-1.77155888,-0.04164255,0.01467527,0.00468139,0.55810547,0.82962703
1732339230.07230330,2341,537630.07230330,5.01497364,-2.70562601,-0.04357634,0.00880754,0.00482211,0.57327578,0.81930095
1732339233.27504158,2341,537633.27504158,4.55300522,-3.62638664,-0.04392201,0.00241840,0.00207229,0.53227807,0.84656359
1732339236.27760363,2341,537636.27760363,4.09096050,-4.54397678,-0.04747840,0.00414057,-0.00044925,0.57241805,0.81995136
1732339239.28021240,2341,537639.28021240,3.71913338,-5.50032377,-0.04831253,0.00296992,0.00241095,0.59318999,0.80505342
1732339251.09023285,2341,537651.09023285,3.37241387,-6.49817514,-0.05164427,0.00875382,0.00625672,0.58507334,0.81090900
1732339253.89262366,2341,537653.89262366,2.98269749,-7.48610020,-0.06116605,0.00963144,0.00493522,0.57475927,0.81825098
1732339256.49484158,2341,537656.49484158,2.56944299,-8.41755581,-0.05634157,0.00841191,0.00775994,0.55185173,0.83386372
1732339258.89688921,2341,537658.89688921,2.10451555,-9.37383652,-0.08174836,0.01154485,0.00326125,0.54643257,0.83741718
1732339261.09876800,2341,537661.09876800,1.65480232,-10.30046940,-0.06667168,0.00933544,0.00743296,0.54698633,0.83705648
1732339262.49996138,2341,537662.49996138,1.36826050,-10.76433372,-0.08255414,0.01607234,0.00107780,0.45052962,0.89261614
1732339263.30065393,2341,537663.30065393,1.17249334,-11.01058006,-0.06388061,0.01614454,0.00485745,0.34438095,0.93867860
1732339264.70184994,2341,537664.70184994,0.77154094,-11.25809765,-0.06824680,0.01425842,0.00026025,0.23446320,0.97202039
1732339267.70449400,2341,537667.70449400,0.06663327,-11.54530811,-0.04117963,0.01448211,0.00188348,0.33120540,0.94344566
1732339268.70525336,2341,537668.70525336,-0.08182056,-11.65061951,-0.07665496,0.01041461,-0.00128391,0.43197060,0.90182664
1732339269.30576944,2341,537669.30576944,-0.11019026,-11.62865162,-0.03285924,0.00606977,-0.00343178,0.52077704,0.85366425
1732339270.30662155,2341,537670.30662155,-0.15862715,-11.79909039,-0.06491851,0.01061377,0.00550787,0.60909625,0.79300616
1732339270.90714550,2341,537670.90714550,-0.19103396,-11.92477608,-0.05556881,0.01350123,0.00375823,0.68618333,0.72729363
1732339271.90799046,2341,537671.90799046,-0.16669746,-12.09973526,-0.05657427,0.01167042,0.00648314,0.77447232,0.63246692
1732339272.70874977,2341,537672.70874977,-0.10713415,-12.24206257,-0.05367589,0.01199635,0.00927195,0.84376958,0.53649139
1732339273.90970707,2341,537673.90970707,0.05021371,-12.50496101,-0.06700420,0.01488865,0.00521413,0.89797396,0.43976574
1732339277.71303320,2341,537677.71303320,0.70437652,-13.27893448,-0.08649120,0.00536252,-0.00058358,0.92412038,0.38206339
1732339280.91566944,2341,537680.91566944,1.38651681,-14.02400780,-0.09328318,0.00246863,-0.00178955,0.92552821,0.37866640
1732339283.91823816,2341,537683.91823816,2.10332298,-14.75965214,-0.11077224,0.00436681,0.00133020,0.93557148,0.35310787
