1732337227.08311772,2341,535627.08311772,22.30404644,114.18042074,5.59016735,-12.30056599,-0.45369878,4.20369554,1.48206279,0.26362086,0.31341653,0.00540850,-0.00119001,-0.00342437
1732337227.28313160,2341,535627.28313160,22.30404639,114.18042086,5.58963420,-12.31961364,-0.44262641,4.20865462,1.49504350,0.25798714,0.31288338,0.00295608,-0.00062287,-0.00261433
1732337227.48328972,2341,535627.48328972,22.30404641,114.18042079,5.59149558,-12.31492865,-0.44212152,4.20331283,1.48782092,0.26093994,0.31474476,0.00164937,-0.00042894,-0.00232749
1732337227.68346691,2341,535627.68346691,22.30404640,114.18042077,5.58377507,-12.30227542,-0.42870774,4.20983144,1.48572942,0.25972617,0.30702425,0.00254759,-0.00018141,-0.00086514
1732337227.88363266,2341,535627.88363266,22.30404644,114.18042082,5.58830093,-12.28696969,-0.42070325,4.20454976,1.49103131,0.26332935,0.31155010,0.00120291,-0.00129752,-0.00020755
1732337228.08386874,2341,535628.08386874,22.30404635,114.18042079,5.58804716,-12.31273224,-0.43658055,4.21811502,1.48736835,0.25425315,0.31129633,0.00179533,-0.00116530,0.00031828
1732337228.28398418,2341,535628.28398418,22.30404637,114.18042075,5.58522072,-12.27758259,-0.42208814,4.20207557,1.48390817,0.25573558,0.30846990,0.00277693,-0.00104255,0.00126761
1732337228.48416376,2341,535628.48416376,22.30404644,114.18042078,5.58742762,-12.30117844,-0.42878759,4.20878285,1.48636106,0.26382518,0.31067680,0.00294704,-0.00224145,0.00085582
1732337228.68431902,2341,535628.68431902,22.30404632,114.18042083,5.58639000,-12.29650185,-0.43772040,4.20028382,1.49167758,0.25031374,0.30963917,0.00245305,-0.00064570,0.00215436
1732337228.88450694,2341,535628.88450694,22.30404639,114.18042074,5.58697850,-12.29438843,-0.41635244,4.20280982,1.48289925,0.25817534,0.31022768,0.00289321,-0.00013489,0.00265858
1732337229.08467722,2341,535629.08467722,22.30404633,114.18042087,5.59116676,-12.28354857,-0.45955118,4.19891532,1.49609278,0.25200850,0.31441594,0.00050120,0.00148085,0.00242811
1732337229.28483629,2341,535629.28483629,22.30404635,114.18042076,5.59211391,-12.28461783,-0.45678617,4.18914034,1.48487045,0.25399874,0.31536309,0.00067301,0.00210398,0.00211800
1732337229.48502922,2341,535629.48502922,22.30404631,114.18042080,5.59230323,-12.30293184,-0.44589952,4.19776778,1.48859883,0.24992130,0.31555241,-0.00050120,0.00263004,0.00161148
1732337229.68518806,2341,535629.68518806,22.30404636,114.18042079,5.59141114,-12.28398935,-0.43561290,4.21420969,1.48746289,0.25542509,0.31466031,-0.00244166,0.00278298,0.00159102
1732337229.88535547,2341,535629.88535547,22.30404646,114.18042081,5.59301914,-12.31859726,-0.42981971,4.20440062,1.48988015,0.26620186,0.31626831,-0.00546792,0.00049000,0.00164696
1732337230.08553529,2341,535630.08553529,22.30404634,114.18042081,5.58886467,-12.30042376,-0.44613589,4.19247704,1.49024271,0.25244777,0.31211384,-0.00875385,-0.00016504,0.00195703
1732337230.28573275,2341,535630.28573275,22.30404639,114.18042073,5.59259436,-12.28874880,-0.43324263,4.20587466,1.48190685,0.25872112,0.31584354,-0.01208985,-0.00212033,0.00208916
1732337230.48588562,2341,535630.48588562,22.30404635,114.18042076,5.59111003,-12.27674967,-0.45608224,4.19623418,1.48434577,0.25397506,0.31435921,-0.01717965,-0.00465552,0.00191756
1732337230.68604898,2341,535630.68604898,22.30404638,114.18042078,5.59274786,-12.29727389,-0.43738168,4.21747329,1.48641069,0.25762577,0.31599704,-0.02426797,-0.00846580,0.00123785
1732337230.88621640,2341,535630.88621640,22.30404639,114.18042072,5.59411365,-12.28613195,-0.43360393,4.21582248,1.48059350,0.25847371,0.31736282,-0.03265601,-0.01340238,0.00106183
